$V_2$ [ V ],$V_{R2}$ [ V ],$I_D$ [ mA ],$V_{DS}$ [ V ]
0.000,0.000,0.000,0.000
0.100,0.100,0.010,0.004
0.200,0.197,0.020,0.007
0.300,0.294,0.030,0.012
0.400,0.389,0.039,0.021
0.500,0.485,0.049,0.026
0.600,0.579,0.058,0.031
0.800,0.768,0.078,0.038
0.900,0.860,0.087,0.045
1.000,0.954,0.096,0.052
2.000,1.636,0.165,0.388
3.000,1.717,0.173,1.300
4.000,1.755,0.177,2.256
5.000,1.789,0.181,3.217
6.000,1.824,0.184,4.177
7.000,1.861,0.188,5.144
8.000,1.901,0.192,6.108
9.000,1.953,0.197,7.055
10.000,2.004,0.202,8.001
11.000,2.051,0.207,8.948
12.000,2.107,0.213,9.884
13.000,2.164,0.219,10.833
14.000,2.226,0.225,11.772
15.000,2.294,0.232,12.704
16.000,2.364,0.239,13.635
17.000,2.441,0.247,14.565
18.000,2.528,0.255,15.470
19.000,2.615,0.264,16.380
20.000,2.707,0.273,17.290
21.000,2.811,0.284,18.191
22.000,2.915,0.294,19.083
23.000,3.018,0.305,19.967
24.000,3.139,0.317,20.842
25.000,3.270,0.330,21.724
