$V_1 [V]$,$V_{R2} [V]$,$I_C [mA]$,$V_{BE} [V]$
0.000,0.000,0.000,0.000
0.050,0.000,0.000,0.050
0.100,0.000,0.000,0.100
0.150,0.000,0.000,0.150
0.200,0.000,0.000,0.200
0.250,0.000,0.000,0.250
0.300,0.000,0.000,0.300
0.350,0.000,0.000,0.350
0.400,0.000,0.000,0.400
0.450,0.000,0.000,0.450
0.500,0.009,0.009,0.498
0.550,0.050,0.050,0.542
0.600,0.187,0.187,0.576
0.650,0.439,0.440,0.597
0.700,0.780,0.782,0.612
0.750,1.180,1.182,0.622
0.800,1.614,1.617,0.631
0.850,2.073,2.077,0.636
0.900,2.544,2.549,0.642
0.950,3.028,3.034,0.646
1.000,3.503,3.510,0.652
1.050,4.005,4.013,0.654
1.100,4.485,4.494,0.658
1.150,4.791,4.801,0.660
1.200,4.832,4.842,0.662
1.400,4.880,4.890,0.663
1.600,4.899,4.909,0.665
1.800,4.912,4.922,0.666
2.000,4.921,4.931,0.666
2.200,4.930,4.940,0.667
2.400,4.934,4.944,0.668
2.600,4.934,4.944,0.669
2.800,4.939,4.949,0.670
3.000,4.943,4.953,0.671
3.200,4.946,4.956,0.671
3.400,4.949,4.959,0.672
3.600,4.952,4.962,0.673
3.800,4.955,4.965,0.674
4.000,4.957,4.967,0.675
4.200,4.959,4.969,0.675
4.400,4.961,4.971,0.676
4.600,4.962,4.972,0.677
4.800,4.963,4.973,0.678
5.000,4.965,4.975,0.679
