$V_1$ [ V ],$V_R_2$ [ V ],$I_D$ [ mA ],$V_{GS}$ [ V ]
0.000,0.000,0.000,0.000
0.500,0.000,0.000,0.500
1.000,0.000,0.000,0.999
1.500,0.000,0.000,1.500
2.000,0.064,0.006,1.999
2.050,0.127,0.013,2.050
2.100,0.225,0.023,2.100
2.150,0.418,0.042,2.150
2.200,0.702,0.071,2.200
2.250,1.211,0.122,2.250
2.300,1.885,0.190,2.300
2.350,3.025,0.305,2.350
2.400,4.314,0.436,2.400
2.450,6.309,0.637,2.450
2.500,8.172,0.825,2.498
3.000,9.965,1.006,2.998
3.500,9.978,1.008,3.497
4.000,9.983,1.008,3.996
4.500,9.985,1.008,4.497
5.000,9.987,1.009,4.996
